Rank,Category,Gender,Region,LocalStatus,SpecialReservation,CollegeCode,CollegeName,Branch,CutoffRank
,OC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,OC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,SC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,170697
,SC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,170697
,ST,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-A,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-A,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-B,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-B,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-D,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-D,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-E,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,BC-E,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,143031
,EWS,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,158522
,OC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,132938
,OC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,132938
,SC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,170635
,SC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,170635
,ST,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,173467
,BC-A,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,153425
,BC-A,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,167840
,BC-B,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,167292
,BC-B,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,169169
,BC-D,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,134908
,BC-D,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,157283
,BC-E,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,144114
,BC-E,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,144114
,EWS,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,149718
,OC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,OC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,SC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,SC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,ST,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,BC-A,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,165041
,BC-A,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,165041
,BC-B,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,163503
,BC-B,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,163503
,BC-D,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,BC-D,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,146246
,BC-E,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,BC-E,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,114459
,EWS,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,128288
,OC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169131
,OC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,SC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169131
,SC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,ST,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,173554
,BC-A,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,BC-A,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,BC-B,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169169
,BC-B,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169169
,BC-D,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169142
,BC-D,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,BC-E,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,BC-E,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,169163
,OC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,169131
,OC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,169131
,SC,Male,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,173540
,SC,Female,AU,,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,173540
