Rank,Category,Gender,Region,LocalStatus,SpecialReservation,CollegeCode,CollegeName,Branch,CutoffRank
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-A,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-A,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-B,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-B,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-D,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-D,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-E,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,BC-E,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,148874
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,98862
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,144081
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,145979
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,149993
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,134391
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,144081
,BC-A,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,151012
,BC-A,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,151012
,BC-B,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,137742
,BC-B,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,144081
,BC-D,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,146500
,BC-D,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,146500
,BC-E,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,143907
,BC-E,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,144792
,EWS,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,115984
,EWS,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,134669
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,110962
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,113113
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,138435
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,138435
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,127433
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,127433
,BC-A,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,110962
,BC-A,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,113113
,BC-B,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,110962
,BC-B,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,113113
,BC-D,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,110962
,BC-D,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,133645
,BC-E,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,112856
,BC-E,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,113113
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,132618
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,149338
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,148315
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,149338
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,142677
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,149338
,BC-A,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,132618
,BC-A,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,149338
,BC-B,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,132618
,BC-B,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,149338
,BC-D,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,132618
,BC-D,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,149338
